file,eng
data/results/0.jpg,
data/results/0_cro_pped_12.jpg,Calcium
data/results/0_cro_pped_13.jpg,Atorvastatin
data/results/0_cro_pped_14.jpg,
data/results/0_cro_pped_15.jpg,10 mg*
data/results/0_cro_pped_16.jpg,Tablets
data/results/0_cro_pped_18.jpg,. 30 Tablets Rx only
data/results/1.jpg,e T torvastatin Calcium Tablets 30 Tablets Rx only
data/results/1_cro_pped_12.jpg,Calcium
data/results/1_cro_pped_13.jpg,Atorvastatin
data/results/1_cro_pped_14.jpg,
data/results/1_cro_pped_15.jpg,Tablets
data/results/1_cro_pped_17.jpg,NDC 0591-3776-30
data/results/1_cro_pped_18.jpg,temperature 20-25°C (68-77°F)
data/results/2.jpg,"HSINYYA[ON] 06559,866¢ Y, sal -50 NDC 43598-6 90 Tablet:"
data/results/2_cro_pped_12.jpg,"AN ‘obneddne, el UBO3D: apomyoeynuey 172079 1041U00 45125 2 01402 1290 1 Burguosaxd oo wershyd A Y500 WS 1oH ordoidn Papuoy"
data/results/2_cro_pped_15.jpg,0 o35 d g s dng el Dr.Reddy's @
data/results/2_cro_pped_16.jpg,150 mg
data/results/2_cro_pped_17.jpg,Hydrochloride
data/results/3.jpg,"FNYAON fomeaduel wooyp (4oLl 01089) ‘UogeworaBes0p ) UOTEULD PARIP % 10 APEP 191GE) U0 Bt 61008 suEHO3 9 G 9seoR 6-30, NDC 43598-6 VARRING. Do notuee s combinsion buPROPion drochloride"
data/results/3_cro_pped_11.jpg,| AN ‘@Bedcney euley Ua5eD (g pamjoeynuey 1720 9% 110109 dsn 52 0102 123 uBugyosoxd o0 werashyd L3O¥S00 VNS
data/results/3_cro_pped_14.jpg,buPROPion
data/results/3_cro_pped_17.jpg,Hydrochloride
data/results/3_cro_pped_18.jpg,Rx Only
data/results/4.jpg,"Each Tablet cortalng: _|_NDC 0527-1648-01 e b Hydrocodone | . SR Bitartrate and (1 g e Acetaminophen remsmss— | Tablets, USP Rer LR - meleant cos PACKAGE NOT CHILD-RESISTANT) T packago I ok itanded for houseioid Disponsa the accompanying = MBQICAT0N GUKS [0 BaCT PETSNTT KEEP THEE AND ALL MEDICATION. IOUT OF THE REACH OF CHILDREN, 18 4 B only i [ [ [ I | [ | i SR A BT T : 150 U Crfle o Torrai: 5 mg/300 mg [ [ ! | [ ""Tils it Fas boen sealod for your RO 100 TABLETS Priladelphia, PA 19154 0527-1646-01 Distribud by: Larmett Corpany, Inc."
data/results/4_cro_pped_12.jpg,"Tablets, USP"
data/results/4_cro_pped_13.jpg,Bitartrate and
data/results/4_cro_pped_14.jpg,Acetaminophen
data/results/4_cro_pped_15.jpg,
data/results/4_cro_pped_16.jpg,nvdrocoaone
data/results/4_cro_pped_17.jpg,
data/results/5.jpg,"SRS NDC 0527-1648-01 D - [Hydrocodone | ., ST Bitartrate and (1L ‘S0 packags Insart for comphets TR . Acetaminophen| — St gttt Tablets, USP 3 0527-1648-01 PAGKAGE NOT CHILD-RESISTANT S 42 2T BTN 560 USF Uormmlied Aoor Tmperaues] 10 mg/300 mg “This packags I ot inanded for household Cispanss the ageomparying - MBLICHLION GOl [0 BT paiiat. Philadelphia,PA 18154 Distrbouted by: lLannett Company, Inc. KEEP THIS AND ALL WEDICATION . DUT OF THE REAGH OF CRILOWEN, R only 643 This bottio has been sealad for = n 100 TABLETS"
data/results/5_cro_pped_11.jpg,"‘Tablets, USP"
data/results/5_cro_pped_12.jpg,Bitartrate and {11
data/results/5_cro_pped_13.jpg,Rconty
data/results/5_cro_pped_14.jpg,Hvdrocodone
data/results/5_cro_pped_15.jpg,Acetaminoohen
data/results/5_cro_pped_16.jpg,10 mg/300 mg
data/results/5_cro_pped_17.jpg,
data/results/5_cro_pped_18.jpg,NDC 0527-1648-01
data/results/6.jpg,"[NDC 64376-643-01] [ Hydrocodone ™ Bitartrate and /Acetaminophen Tablets, USP AR e (100 Tablets PAR Dscription Exch Gblet contains: “WARNING: 1y T o "" &8 = = > 2 Keep TS Ay AT DROGT OO © RS Ctonen o 2 5 2 3 storag:storeat 2010 28° e zs t0 77°) e USP Controled Hoor Temperatare]"
data/results/6_cro_pped_13.jpg,1 7.5 ma/300 mq |
data/results/6_cro_pped_14.jpg,Hvdrocodone™
